Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c0006sd8,7,"Tuesday, November 15, 2011 17:41:44 UTC",-24.5275,179.8762,4.7,510.70,163,"south of the Fiji Islands"
ci,15075836,5,"Tuesday, November 15, 2011 14:51:01 UTC",34.0747,-119.2637,2.8,10.80,46,"Channel Islands region, California"
ci,15075772,2,"Tuesday, November 15, 2011 12:24:28 UTC",33.5290,-116.4618,2.5,4.80,121,"Southern California"
ak,10355304,2,"Tuesday, November 15, 2011 10:50:10 UTC",58.1388,-151.5724,2.6,1.60,25,"Kodiak Island region, Alaska"
us,c0006s8t,8,"Tuesday, November 15, 2011 10:43:50 UTC",-0.1295,121.9339,5.8,262.90,405,"Sulawesi, Indonesia"
us,c0006s8g,6,"Tuesday, November 15, 2011 10:20:16 UTC",-24.0387,-64.1276,5.1,43.10,221,"Salta, Argentina"
us,c0006s8j,3,"Tuesday, November 15, 2011 10:18:40 UTC",11.1274,93.5616,4.8,129.00,25,"Andaman Islands, India region"
ak,10355285,3,"Tuesday, November 15, 2011 09:46:00 UTC",63.3555,-145.4958,3.0,4.90,48,"Central Alaska"
nn,00355562,8,"Tuesday, November 15, 2011 09:44:08 UTC",38.5932,-118.5093,3.1,11.00,20,"Nevada"
us,c0006s7q,5,"Tuesday, November 15, 2011 09:31:46 UTC",43.0499,-103.5505,3.3,4.90,69,"South Dakota"
ak,10355244,2,"Tuesday, November 15, 2011 07:57:39 UTC",53.8237,-164.8764,3.3,68.80,30,"Unimak Island region, Alaska"
us,c0006s6m,7,"Tuesday, November 15, 2011 07:56:02 UTC",-7.4960,127.8299,5.5,162.70,505,"Kepulauan Barat Daya, Indonesia"
ak,10355236,4,"Tuesday, November 15, 2011 07:49:48 UTC",61.0404,-150.3558,3.3,23.30,76,"Southern Alaska"
us,c0006s5s,7,"Tuesday, November 15, 2011 05:10:06 UTC",-32.6766,-71.7634,4.7,22.60,49,"offshore Valparaiso, Chile"
ak,10355208,3,"Tuesday, November 15, 2011 04:54:12 UTC",63.1670,-150.4259,3.0,112.60,62,"Central Alaska"
pr,11319000,0,"Tuesday, November 15, 2011 04:10:10 UTC",19.1620,-68.7470,3.7,83.80,10,"Dominican Republic region"
ak,10355192,3,"Tuesday, November 15, 2011 04:04:57 UTC",51.4332,-174.4493,3.2,8.40, 7,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71681446,3,"Tuesday, November 15, 2011 02:51:56 UTC",37.4867,-118.8395,2.7,5.00,46,"Central California"
ak,10355150,4,"Tuesday, November 15, 2011 02:13:57 UTC",61.9214,-151.4812,3.1,83.20,57,"Southern Alaska"
us,c0006s4u,7,"Tuesday, November 15, 2011 01:49:03 UTC",5.5602,-82.3774,4.7,29.20,96,"south of Panama"
ci,15075572,5,"Tuesday, November 15, 2011 00:40:18 UTC",36.2273,-118.3187,3.4,3.80,50,"Central California"
us,c0006s6d,6,"Monday, November 14, 2011 23:48:37 UTC",35.4683,-96.8569,2.7,1.10, 0,"Oklahoma"
nc,71681266,9,"Monday, November 14, 2011 22:33:33 UTC",37.4873,-118.8382,3.5,4.50,51,"Central California"
us,c0006s0d,5,"Monday, November 14, 2011 22:08:15 UTC",38.6644,43.0993,5.2,10.00,89,"eastern Turkey"
ak,10358395,3,"Monday, November 14, 2011 20:08:49 UTC",56.5321,-159.6147,3.1,194.90,20,"Alaska Peninsula"
us,2011tga5,A,"Monday, November 14, 2011 16:47:16 UTC",38.4911,43.1036,4.7,8.30,51,"eastern Turkey"
us,2011tga4,5,"Monday, November 14, 2011 16:31:30 UTC",38.4574,43.0756,4.6,1.50,39,"eastern Turkey"
